graph_family,n_vertices,n_edges,graph_type,best_score,best_MAD,n_zeros_matched_01,n_zeros_matched_05,total_length,init_strategy,n_evals,runtime_seconds
cycle,3,3,C_3,0.0920068795985079,18.948886807659512,0,0,24.911811021402137,mixed,4921,26.607970237731934
cycle,4,4,C_4,0.09200744638693185,18.9488805488836,0,0,34.623327094719926,mixed,13552,94.50717997550964
cycle,5,5,C_5,0.0920075069574131,18.948881942801005,0,0,41.48480092285085,mixed,18856,176.30673718452454
cycle,6,6,C_6,0.092008184091238,18.948902249512695,0,0,46.95078119453154,mixed,20646,206.0539677143097
cycle,7,7,C_7,0.09200847053727232,18.948886938401348,0,0,54.734387038479376,mixed,25209,300.8705835342407
cycle,8,8,C_8,0.09200847020544524,18.948887908727517,0,0,54.73365887357403,mixed,29690,434.2339520454407
cycle,9,9,C_9,0.09200847021708758,18.94888667272432,0,0,54.734585221407265,mixed,31980,611.5021896362305
cycle,10,10,C_10,0.0920088503645061,18.948881501437967,0,0,79.20939004202137,mixed,30830,684.257495880127
cycle,11,11,C_11,0.09200877608111996,18.948882476065982,0,0,79.2083456164556,mixed,22011,564.9799497127533
cycle,12,12,C_12,0.0920094333069648,18.94891317142329,0,0,100.30993769525176,mixed,19943,580.4681010246277
cycle,13,13,C_13,0.09201049088818726,18.948878418587512,0,0,104.91762837265759,mixed,16434,578.3005208969116
cycle,14,14,C_14,0.09201064298035228,18.948864093880324,0,0,114.45276662404935,mixed,22836,871.4146037101746
cycle,15,15,C_15,0.09201074786680308,18.948803589739917,0,0,106.97198155047721,mixed,23988,1039.4377014636993
cycle,16,16,C_16,0.09201080817216814,18.948803024545565,0,0,106.97295936596461,mixed,24012,1143.107061624527
cycle,17,17,C_17,0.0920107847816502,18.948841171595824,0,0,114.86789189411547,mixed,23988,1289.693389415741
cycle,18,18,C_18,0.09201171000940388,18.948918790421637,0,0,133.35826404398884,mixed,24012,1420.6980423927307
cycle,19,19,C_19,0.09201108652146436,18.948822611527998,0,0,141.19143178098005,mixed,24012,1598.1522645950317
cycle,20,20,C_20,0.09201135925954196,18.948843954312373,0,0,127.31514004237663,mixed,24012,1753.3629381656647
complete,7,21,K_7,0.22234054321160537,21.453076057196256,0,0,59.56055767101205,mixed,24024,2914.5053391456604
theta,5,6,Theta_3path,0.4205091717214007,4.879080592802476,0,0,18.914637068073926,mixed,10220,122.57740259170532
regular,8,12,3-reg_8v,0.3121924327863394,8.626033621136054,0,0,17.769416167827405,mixed,24024,636.235827922821
random,7,8,Random_7v_0,0.534245833352833,3.2204792785964047,0,0,17.348680205374322,mixed,23620,335.0624580383301
random,7,12,Random_7v_1,0.3040194164968273,9.263073971975,0,0,28.69746481003017,mixed,24024,646.3419120311737
random,7,16,Random_7v_2,0.24139855416685105,15.289851545846954,0,0,43.013235938515834,mixed,24012,1507.5376088619232
random,7,11,Random_7v_3,0.31942189538309457,7.981903382984666,0,0,24.18679260812504,mixed,24024,605.7899332046509
random,7,9,Random_7v_4,0.555025339928681,2.979282287136665,0,0,27.69944914162766,mixed,24030,472.7622513771057
cycle_extended,14,14,C_14,0.09201078420639458,18.948803250117788,0,0,106.97256794713563,mixed,21989,773.9378664493561
cycle_extended,21,21,C_21,0.0920113314666625,18.948839291851062,0,0,140.1739761743426,mixed,24024,1959.9878051280975
cycle_extended,28,28,C_28,0.09201398009616577,18.948913535069096,0,0,153.24481980295457,mixed,24024,3399.4762105941772
